arrival_rate,seed,utilization,fraction_served,mean_number_in_system,mean_delay,total_served,total_arrived,clock_time,,,,,,Arrival Rate,Average Mean Delay
0.08,8675309,0.800178245,0.99999998,2.397183991,29.95812504,50000000,50000001,624860777.4081563950,,,,,,,
0.08,1357911,0.80001263,0.99999992,2.392810902,29.90966407,50000000,50000004,624990132.7124673128,,,,,,,
0.08,24681012,0.800103019,0.99999996,2.396017754,29.94636563,50000000,50000002,624919526.8885082006,,,,,,,
0.08,31415926,0.800161746,0.99999982,2.393786171,29.91627857,50000000,50000009,624873661.2078012228,,,,,,,
0.08,27182818,0.799912493,0.99999996,2.392511622,29.90966692,50000000,50000002,625068372.5722286701,,,,,,,
0.08,16180339,0.799982587,0.99999998,2.394331094,29.92979014,50000000,50000001,625013604.4649477005,,,,,,,
AVG     0.08000 10_seeds        avg_mean_delay  29.9231862496,,,,,,,,,,,,,,,
0.09,400430923,0.899789025,1,4.903524235,54.49637748,50000000,50000000,555685817.6454793215,,,,,,,
0.09,400474322,0.900133623,0.99999974,4.931756301,54.78915768,50000000,50000013,555473084.4442781210,,,,,,,
0.09,89101112,0.899909663,0.99999982,4.917754678,54.64720382,50000000,50000009,555611324.6609063148,,,,,,,
0.09,424242,0.90011478,0.9999997,4.919070409,54.64936829,50000000,50000015,555484712.9533914328,,,,,,,
0.09,8675309,0.900200492,0.99999992,4.929042564,54.75494191,50000000,50000004,555431822.7004014254,,,,,,,
0.09,1357911,0.900014145,0.99999976,4.91291361,54.5870711,50000000,50000012,555546824.5445976257,,,,,,,
0.09,24681012,0.900115765,0.99999986,4.92621422,54.72867394,50000000,50000007,555484105.0118540525,,,,,,,
0.09,31415926,0.900181925,0.9999998,4.917098163,54.62338252,50000000,50000010,555443278.8513914347,,,,,,,
0.09,27182818,0.899901547,0.99999994,4.917333086,54.64301181,50000000,50000003,555616335.6198831797,,,,,,,
0.09,16180339,0.899980376,0.99999994,4.923118446,54.70250884,50000000,50000003,555567669.5244162083,,,,,,,
AVG     0.09000 10_seeds        avg_mean_delay  54.6621697385,,,,,,,,,,,,,,,
0.098,400430923,0.979769303,0.99999898,24.64773923,251.5667632,50000000,50000051,510324214.3355219364,,,,,,,
0.098,400474322,0.98014528,0.99999946,24.82030794,253.2309081,50000000,50000027,510128457.6677297950,,,,,,,
0.098,89101112,0.979901316,0.99999942,24.80068242,253.0936739,50000000,50000029,510255463.2225621939,,,,,,,
0.098,424242,0.980123365,0.99999826,25.0596776,255.6788103,50000000,50000087,510139863.7046256065,,,,,,,
0.098,8675309,0.980217086,0.99999898,25.11506938,256.2194613,50000000,50000051,510091088.0076733828,,,,,,,
0.098,1357911,0.98001505,0.99999944,24.91324417,254.2128731,50000000,50000028,510196246.3093230128,,,,,,,
0.098,24681012,0.980125724,0.99999962,25.36330196,258.7760055,50000000,50000019,510138636.1674700379,,,,,,,
0.098,31415926,0.980197958,0.99999954,25.00348094,255.0860337,50000000,50000023,510101042.3015911579,,,,,,,
0.098,27182818,0.979892473,0.99999964,24.77506728,252.8345505,50000000,50000018,510260068.2871429920,,,,,,,
0.098,16180339,0.979978602,0.9999999,25.07825467,255.9061456,50000000,50000005,510215222.2161505222,,,,,,,
AVG     0.09800 10_seeds        avg_mean_delay  254.6605225178,,,,,,,,,,,,,,,
