arrival_rate,seed,utilization,fraction_served,mean_number_in_system,mean_delay,total_served,total_arrived,clock_time
0.06000,89101112,0.6000044180,1.0000000000,1.0497341378,17.4954401381,50000000,50000000,833327197.2064352000
0.06000,424242,0.6000175185,0.9999999800,1.0501095406,17.5013146802,50000000,50000001,833309002.7341325300
0.06000,8675309,0.5999833017,0.9999999600,1.0495720426,17.4933542255,50000000,50000002,833356526.0420308100
0.06000,1357911,0.6002073872,1.0000000000,1.0505859384,17.5037155624,50000000,50000000,833045395.0709168900
0.06000,24681012,0.6000125820,1.0000000000,1.0500485354,17.5004419382,50000000,50000000,833315858.6345382900
0.06000,31415926,0.5999904747,0.9999999800,1.0499757509,17.4998736658,50000000,50000001,833346563.0808720600
0.06000,27182818,0.6000968986,0.9999999800,1.0498843535,17.4952471168,50000000,50000001,833198773.7005255200
0.06000,16180339,0.6000674548,0.9999999600,1.0498393004,17.4953547622,50000000,50000002,833239656.5979400900
AVG,0.06000,10_seeds,avg_mean_delay,17.4982418690
0.07000,400430923,0.7000762954,1.0000000000,1.5165907146,21.6632204896,50000000,50000000,714207870.3508603600
0.07000,400474322,0.7000767149,1.0000000000,1.5163809139,21.6602106834,50000000,50000000,714207442.3442167000
0.07000,89101112,0.7000051525,1.0000000000,1.5159017299,21.6555795977,50000000,50000000,714280456.6371089200
0.07000,424242,0.7000204369,0.9999999800,1.5169335318,21.6698463626,50000000,50000001,714264860.9160785700
0.07000,8675309,0.6999805173,0.9999999400,1.5158594392,21.6557375779,50000000,50000003,714305595.1802089200
0.07000,1357911,0.7002419433,0.9999999600,1.5174837357,21.6708489132,50000000,50000002,714038918.6335485000
0.07000,24681012,0.7000146707,1.0000000000,1.5166602115,21.6661203702,50000000,50000000,714270744.5451793700
0.07000,31415926,0.6999888858,0.9999999800,1.5165622954,21.6655196418,50000000,50000001,714297055.4991586200
0.07000,27182818,0.7001130259,0.9999999600,1.5164861731,21.6605907461,50000000,50000002,714170400.3159673200
0.07000,16180339,0.7000786875,0.9999999600,1.5161796840,21.6572752620,50000000,50000002,714205429.9421898100
AVG,0.07000,10_seeds,avg_mean_delay,21.6624949644
0.08000,400430923,0.8000871931,1.0000000000,2.3996492529,29.9923467534,50000000,50000000,624931887.8088744900
0.08000,400474322,0.8000876294,0.9999999400,2.3991527737,29.9861250898,50000000,50000003,624931547.0562733400
0.08000,89101112,0.8000058598,0.9999999600,2.3982471217,29.9778694402,50000000,50000002,624995422.0593899500
0.08000,424242,0.8000233549,0.9999999800,2.3998994959,29.9978679545,50000000,50000001,624981754.5536013800
0.08000,8675309,0.7999777324,0.9999999400,2.3987022370,29.9846125688,50000000,50000003,625017397.0344260900
0.08000,1357911,0.8002764971,0.9999999600,2.4028950050,30.0258100018,50000000,50000002,624784061.3066563600
0.08000,24681012,0.8000167569,1.0000000000,2.4001052291,30.0006869675,50000000,50000000,624986908.9788847000
0.08000,31415926,0.7999872964,0.9999999800,2.3991029169,29.9892626736,50000000,50000001,625009924.8135662100
0.08000,27182818,0.8001291424,0.9999999600,2.3999420152,29.9944332483,50000000,50000002,624899123.7704110100
0.08000,16180339,0.8000899174,0.9999999600,2.3991794681,29.9863729814,50000000,50000002,624929759.9514497500
AVG,0.08000,10_seeds,avg_mean_delay,29.9935387679
0.09000,400430923,0.9000980904,1.0000000000,4.9558533838,55.0590367478,50000000,50000000,555495012.4972689200
